Regressor,Data_preprocessing,Average R2 test score,Average MAE test score,Average RMSE test score,Average MAPE test score,Average R2 train score,Average MAE train score,Average RMSE train score,Average MAPE train score,Average test time,Average train time
LinearRegression(),none,0.9028857721844528,163.98714170485428,211.98937661196564,0.1696759793063327,0.9234988462180841,152.471071845586,200.80639145002428,0.15904833367749832,0.009806632995605469,0.0037244319915771484
DecisionTreeRegressor(),none,0.8696476286408139,159.88518905611298,229.11986231038077,0.13319727285639726,0.9972754374196429,10.937300382366171,35.90947895033315,0.012176997907163029,0.014372301101684571,0.00059967041015625
MultiOutputRegressor(estimator=Ridge(random_state=96)),none,0.9032239761460275,162.86513542393618,211.6037724340415,0.16402640115163258,0.9233204166954329,152.06314932174664,201.15863424275216,0.15458113406823376,0.009580373764038086,0.01891360282897949
MultiOutputRegressor(estimator=LinearSVR(max_iter=10000)),none,0.6051243016804122,276.43576420284006,369.1279656094702,0.2444510932776856,0.6635258143040679,263.0516668783679,362.8890156268032,0.2319252997019449,0.00719609260559082,0.7161393165588379
"RegressorChain(base_estimator=Ridge(random_state=96), order='random')",none,0.9032239761460273,162.8651354239365,211.60377243404182,0.1640264011516326,0.9233204166954329,152.0631493217466,201.1586342427521,0.15458113406823376,0.007798147201538086,0.01559305191040039
"RegressorChain(base_estimator=LinearSVR(max_iter=10000), order='random')",none,0.47340609671338624,317.50875577340634,413.8553288037765,0.3043017670331877,0.5331529523327037,302.8410460441738,408.13541860551595,0.29164962399618605,0.0063954353332519535,1.1852635860443115
LinearRegression(),Scaling (Min-Max),0.9028857721844517,0.047980182167080554,0.06310403073645335,4236885170340.9326,0.9234988462180841,0.04462849471549773,0.0597961642230996,3834716410205.0327,0.0,0.0
DecisionTreeRegressor(),Scaling (Min-Max),0.8841526089451934,0.046628623483944996,0.06607232602225181,2261626756863.9814,0.9972754374196429,0.003135964600769223,0.010589934530075052,547220557943.41394,0.0,0.0
MultiOutputRegressor(estimator=Ridge(random_state=96)),Scaling (Min-Max),0.8742187898631419,0.059432364559859396,0.0758019841275743,4642540152766.496,0.8972392700191877,0.055619320959573545,0.07261284562461397,3963778165179.2314,0.0,0.015626287460327147
MultiOutputRegressor(estimator=LinearSVR(max_iter=10000)),Scaling (Min-Max),0.8981512552979021,0.04790068750521394,0.06497687350481607,4374248717436.9077,0.913443025593834,0.04365898443810211,0.06301949447497228,3736375850454.501,0.0029982566833496095,0.043686723709106444
"RegressorChain(base_estimator=Ridge(random_state=96), order='random')",Scaling (Min-Max),0.8742187898631419,0.05943236455985938,0.0758019841275743,4642540152766.493,0.8972392700191877,0.055619320959573545,0.07261284562461397,3963778165179.232,0.001998615264892578,0.012395000457763672
"RegressorChain(base_estimator=LinearSVR(max_iter=10000), order='random')",Scaling (Min-Max),0.8989683341489852,0.04805002943688215,0.06530257305726642,3326413090134.9517,0.9142586860902353,0.0447798843549136,0.06324702420678323,3010502449943.6475,0.0019989967346191405,0.19629173278808593
LinearRegression(),Scaling (Standard),0.9028857721844517,0.19880003723076248,0.2622651395724322,0.6820461958874775,0.9234988462180841,0.18501335706358818,0.24864202188764728,0.6652191591381715,0.0009993553161621095,0.0009995460510253905
DecisionTreeRegressor(),Scaling (Standard),0.8828052355544564,0.197734496940596,0.28146568911220154,0.7595828624175472,0.9972754374196429,0.013094267336148633,0.04425917982622997,0.03159960226337116,0.0007992267608642578,0.0007998466491699219
MultiOutputRegressor(estimator=Ridge(random_state=96)),Scaling (Standard),0.9022895588767439,0.20056932024689228,0.26419594482652886,0.6871290830972464,0.9220096711859865,0.1875104285090717,0.25204330762142196,0.6647317346273709,0.003198051452636719,0.013991498947143554
MultiOutputRegressor(estimator=LinearSVR(max_iter=10000)),Scaling (Standard),0.8996295548574971,0.19675873372307534,0.267491863041103,0.6740445748420123,0.9161327866663467,0.17897924664296078,0.25861528672847217,0.6235196506465642,0.0033987998962402345,0.02498660087585449
"RegressorChain(base_estimator=Ridge(random_state=96), order='random')",Scaling (Standard),0.902289558876744,0.20056932024689228,0.26419594482652886,0.6871290830972464,0.9220096711859865,0.18751042850907176,0.25204330762142196,0.6647317346273709,0.0019989967346191405,0.012393808364868164
"RegressorChain(base_estimator=LinearSVR(max_iter=10000), order='random')",Scaling (Standard),0.9001307731521067,0.1985390244905261,0.2674063071102533,0.680081651589807,0.9177582105081843,0.18457345417610269,0.2572293934730244,0.6594977629148611,0.002596139907836914,0.2390650749206543
